id,ques
1,What are some of the steps for data wrangling and data cleaning before applying machine learning algorithms?
2,How to deal with unbalanced binary classification?
3,What is the difference between a box plot and a histogram?
4,"Describe different regularization methods, such as L1 and L2 regularization?"
,Neural Network Fundamentals
,What is cross-validation?
,How to define/select metrics?
,Explain what precision and recall are
,"Explain what a false positive and a false negative are. Why is it important these from each other? Provide examples when false positives are more important than false negatives, false negatives are more important than false positives and when these two types of errors are equally important"
,What is the difference between supervised learning and unsupervised learning? Give concrete examples
,Assume you need to generate a predictive model using multiple regression. Explain how you intend to validate this model
,What does NLP stand for?
,When would you use random forests Vs SVM and why?
,Why is dimension reduction important?
,Why is Naive Bayes so bad? How would you improve a spam detection algorithm that uses naive Bayes?
,What are the drawbacks of a linear model?
,What is collinearity and what to do with it? How to remove multicollinearity?
,How to check if the regression model fits the data well?
,What is a decision tree?
,What is a random forest? Why is it good?
,What is a kernel? Explain the kernel trick
,What is overfitting?
,What is boosting?
,Describe Markov chains?
,How do you assess the statistical significance of an insight?
,What is the Central Limit Theorem? Explain it. Why is it important?
,What is the statistical power?
,"What is an outlier? Explain how you might screen for outliers and what would you do if you found them in your dataset. Also, explain what an inlier is and how you might screen for them and what would you do if you found them in your dataset."
,How do you handle missing data? What imputation techniques do you recommend?
,What is root cause analysis? How to identify a cause vs. a correlation? Give examples
,What is the Law of Large Numbers?
,How do you control for biases?
,What are confounding variables?
,What is A/B testing?
,
,"Define quality assurance, six sigma."
